Timestamp,Umidade,Temp1,Temp2
2025/12/06 08:10:56;52,00;27,37;28,38
2025/12/06 08:15:58;51,00;27,37;28,87
2025/12/06 08:20:59;52,00;28,35;29,36
2025/12/06 08:25:30;52,00;28,84;29,36
2025/12/06 08:30:31;52,00;28,84;29,36
2025/12/06 08:35:32;52,00;29,33;29,85
2025/12/06 08:40:34;53,00;29,33;30,34
2025/12/06 08:45:35;53,00;29,81;30,34
2025/12/06 08:50:36;53,00;29,81;30,83
2025/12/06 08:55:37;53,00;30,30;31,31
2025/12/06 09:00:38;54,00;30,30;30,83
2025/12/06 09:05:39;54,00;29,81;30,34
2025/12/06 09:10:40;54,00;30,30;30,83
2025/12/06 09:15:41;54,00;30,79;31,80
2025/12/06 09:20:42;55,00;29,81;30,83
2025/12/06 09:25:43;55,00;30,79;31,80
2025/12/06 09:30:44;55,00;30,79;31,80
2025/12/06 09:35:45;56,00;30,30;31,31
2025/12/06 09:40:46;56,00;29,33;29,85
2025/12/06 09:45:47;56,00;30,79;31,31
2025/12/06 09:50:49;56,00;31,28;31,80
2025/12/06 09:55:50;57,00;31,77;32,78
2025/12/06 10:00:51;57,00;31,28;32,29
2025/12/06 10:05:52;57,00;32,26;32,78
2025/12/06 10:10:53;58,00;32,26;33,27
2025/12/06 10:15:54;58,00;31,28;32,29
2025/12/06 10:20:55;58,00;31,28;31,80
2025/12/06 10:25:56;59,00;32,26;32,78
2025/12/06 10:30:58;59,00;31,28;32,29
2025/12/06 10:35:59;58,00;31,77;32,78
2025/12/06 10:40:30;59,00;30,30;30,83
2025/12/06 10:45:31;59,00;30,79;31,80
2025/12/06 10:50:32;59,00;31,77;32,78
2025/12/06 10:55:34;60,00;30,30;31,31
2025/12/06 11:00:35;60,00;31,77;32,78
2025/12/06 11:05:36;60,00;31,28;31,80
2025/12/06 11:10:37;60,00;31,28;32,29
2025/12/06 11:15:38;60,00;30,79;31,31
2025/12/06 11:20:39;60,00;30,30;30,83
2025/12/06 11:25:40;61,00;33,72;34,25
2025/12/06 11:30:42;61,00;32,75;33,27
2025/12/06 11:35:43;61,00;33,24;34,74
2025/12/06 11:40:44;62,00;32,26;34,25
2025/12/06 11:45:45;62,00;33,72;35,22
2025/12/06 11:50:46;63,00;34,21;35,71
2025/12/06 11:55:47;63,00;33,24;35,22
2025/12/06 12:00:48;64,00;33,24;35,22
2025/12/06 12:05:49;64,00;33,72;35,22
2025/12/06 12:10:50;65,00;35,19;36,20
2025/12/06 12:15:51;65,00;35,19;36,20
2025/12/06 12:20:52;65,00;33,72;35,22
2025/12/06 12:25:53;65,00;35,19;36,20
2025/12/06 12:30:55;65,00;31,77;33,27
2025/12/06 12:35:56;65,00;35,19;36,20
2025/12/06 12:40:57;65,00;36,17;37,18
2025/12/06 12:45:58;65,00;32,75;34,25
2025/12/06 12:50:59;66,00;33,72;35,71
2025/12/06 12:55:30;66,00;34,70;36,20
2025/12/06 13:00:31;66,00;34,70;37,18
2025/12/06 13:05:32;66,00;35,68;37,67
2025/12/06 13:10:33;66,00;36,17;38,16
2025/12/06 13:15:34;67,00;34,70;37,18
2025/12/06 13:20:35;67,00;32,26;33,27
2025/12/06 13:25:36;68,00;31,77;33,27
2025/12/06 13:30:38;68,00;35,19;36,20
2025/12/06 13:35:39;68,00;34,21;36,20
2025/12/06 13:40:40;68,00;32,75;34,25
2025/12/06 13:45:41;68,00;35,19;36,69
2025/12/06 13:50:42;68,00;35,19;36,69
2025/12/06 13:55:43;68,00;34,70;37,18
2025/12/06 14:00:44;69,00;36,66;38,16
2025/12/06 14:05:45;68,00;36,66;38,65
2025/12/06 14:10:46;68,00;37,15;39,62
2025/12/06 14:15:47;69,00;37,15;40,60
2025/12/06 14:20:49;69,00;35,68;38,65
2025/12/06 14:25:50;69,00;35,19;38,16
2025/12/06 14:30:51;69,00;32,26;34,25
2025/12/06 14:35:52;68,00;32,75;34,25
2025/12/06 14:40:53;68,00;33,72;35,22
2025/12/06 14:45:54;68,00;33,72;35,22
2025/12/06 14:50:55;67,00;32,75;33,76
2025/12/06 14:55:57;67,00;31,77;32,78
2025/12/06 15:00:58;66,00;34,21;35,71
2025/12/06 15:05:59;66,00;33,72;34,74
2025/12/06 15:10:30;66,00;33,24;34,25
2025/12/06 15:15:31;66,00;34,70;35,71
2025/12/06 15:20:33;66,00;33,24;34,25
2025/12/06 15:25:34;66,00;33,72;35,22
2025/12/06 15:30:35;66,00;32,75;33,76
2025/12/06 15:35:36;66,00;34,21;36,20
2025/12/06 15:40:38;66,00;35,19;37,18
2025/12/06 15:45:39;66,00;35,68;37,67
2025/12/06 15:50:40;67,00;34,70;36,20
2025/12/06 15:55:41;67,00;33,24;33,76
